division_name,school_year,population,number_of_students,rate,type,source
Albemarle County,2021-2022,13749,300,21.81976871045167,Out of school suspension,SBAR
Charlottesville City,2021-2022,4290,76,17.715617715617718,Out of school suspension,SBAR
Virginia,2021-2022,1251970,67060,53.5635837919439,Out of school suspension,SBAR
Albemarle County,2022-2023,13970,376,26.914817465998567,Out of school suspension,SBAR
Charlottesville City,2022-2023,4491,275,61.2335782676464,Out of school suspension,SBAR
Virginia,2022-2023,1263367,82102,64.98665866687986,Out of school suspension,SBAR
Albemarle County,2023-2024,13835,403,29.12902059992772,Out of school suspension,SBAR
Charlottesville City,2023-2024,4444,282,63.456345634563455,Out of school suspension,SBAR
Virginia,2023-2024,1262011,78556,62.24668406218329,Out of school suspension,SBAR
Albemarle County,2024-2025,14173,477,33.655542228180344,Out of school suspension,SBAR
Charlottesville City,2024-2025,4443,295,66.39657888813865,Out of school suspension,SBAR
Virginia,2024-2025,1261387,75844,60.12746286429145,Out of school suspension,SBAR
