Figure,Source
"Table 1: Youth population in Albemarle / Charlottesville / VA, disaggregated by racial and ethnic subgroups.","U.S. Census Bureau, American Community Survey 5-year estimates, “Sex by Age.” 2020-2024. Table B01001A-I."
Figure 1: Percent of students identified to receive special education services by race and ethnicity for the 2014-15 through 2024-25 school years at ACPS.,"Virginia Department of Education, “December 1 Build-A-Table.” 2010-2025. https://p1pe.doe.virginia.gov/buildatable/dec1"
Figure 2: Percent of students identified to receive special education services by race and ethnicity for the 2014-15 through 2024-25 school years at CCS.,"Virginia Department of Education, “December 1 Build-A-Table.” 2010-2025. https://p1pe.doe.virginia.gov/buildatable/dec1"
Figure 3: Percent of students identified to receive special education services by race and ethnicity for the 2014-15 through 2024-25 school years at Virginia public schools.,"Virginia Department of Education, “December 1 Build-A-Table.” 2010-2025. https://p1pe.doe.virginia.gov/buildatable/dec1"
"Figure 4: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at ACPS.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 5: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at ACPS.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 6: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at CCS.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 7: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at CCS.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 8: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at Virginia public schools.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 9: Percent of student cohort graduating in four years by race and ethnicity, and economically disadvantaged students for 2014-2025 at Virginia public schools.","Virginia Department of Education, “Cohort Graduation Build-A-Table”, Virginia On-Time Graduation Rate, 2014-2025. https://p1pe.doe.virginia.gov/buildatable/cohortgraduation"
"Figure 10: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at ACPS.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 11: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at ACPS.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 12: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at CCS.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 13: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at CCS.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 14: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at Virginia public schools.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 15: Percent of graduating students enrolled in a post-secondary institution by race and ethnicity, and economically disadvantaged students for 2014-2023 at Virginia public schools.","Virginia Department of Education, State Fiscal Stabilization Fund Indicator (C)(11), “Postsecondary Enrollment Reports.” 2014-2023. https://p1pe.doe.virginia.gov/postsec_public/"
"Figure 16: Percent of youth (16-19) participating in the labor force by census tract, 2024, for Albemarle County.","U.S. Census Bureau, American Community Survey 5-year estimates, “Sex by Age by Employment Status.” 2020-2024. Table B23001."
"Figure 17: Percent of youth (16-19) in the labor force experiencing unemployment by census tract, 2024, for Albemarle County.","U.S. Census Bureau, American Community Survey 5-year estimates, “Sex by Age by Employment Status.” 2020-2024. Table B23001."
"Figure 18: Percent of youth (16-19) participating in the labor force by census tract, 2024, for Charlottesville City.","U.S. Census Bureau, American Community Survey 5-year estimates, “Sex by Age by Employment Status.” 2020-2024. Table B23001."
"Figure 19: Percent of youth (16-19) in the labor force experiencing unemployment by census tract, 2024, for Charlottesville City.","U.S. Census Bureau, American Community Survey 5-year estimates, “Sex by Age by Employment Status.” 2020-2024. Table B23001."
"Figure 20: Percent of children living below the poverty threshold by race and ethnicity, 2014-2024, for Albemarle County.","U.S. Census Bureau, American Community Survey 5-year estimates, “Poverty Status by Sex by Age.” 2014-2024. Table B17001A-I."
"Figure 21: Percent of children living below the poverty threshold by race and ethnicity, 2014-2024, for Charlottesville City.","U.S. Census Bureau, American Community Survey 5-year estimates, “Poverty Status by Sex by Age.” 2014-2024. Table B17001A-I."
"Figure 22: Percent of children living below the poverty threshold by race and ethnicity, 2014-2024, for Virginia.","U.S. Census Bureau, American Community Survey 5-year estimates, “Poverty Status by Sex by Age.” 2014-2024. Table B17001A-I."
Figure 23: Percent of students identified as economically disadvantaged by race and ethnicity for the 2014-15 through 2025-26 school years in ACPS.,"Virginia Department of Education, “Fall Membership Build-A-Table.” 2014-2026. https://p1pe.doe.virginia.gov/buildatable/fallmembership"
Figure 24: Percent of students identified as economically disadvantaged by race and ethnicity for the 2014-15 through 2025-26 school years in CCS.,"Virginia Department of Education, “Fall Membership Build-A-Table.” 2014-2026. https://p1pe.doe.virginia.gov/buildatable/fallmembership"
Figure 25: Percent of students identified as economically disadvantaged by race and ethnicity for the 2014-15 through 2025-26 school years in Virginia public schools.,"Virginia Department of Education, “Fall Membership Build-A-Table.” 2014-2026. https://p1pe.doe.virginia.gov/buildatable/fallmembership"
"Figure 26: Referrals to child protective services accepted for assessment or investigation by race and ethnicity, rate per 1,000 children, for fiscal years 2016-2024 for Albemarle County.","Virginia Department of Social Services, Individual Accepted Referrals reports for SFY 2016 through SFY 2025, Data retrieved by request."
"Figure 27: Referrals to child protective services accepted for assessment or investigation by race and ethnicity, rate per 1,000 children, for fiscal years 2016-2024 for Charlottesville City.","Virginia Department of Social Services, Individual Accepted Referrals reports for SFY 2016 through SFY 2025, Data retrieved by request."
"Figure 28: Referrals to child protective services accepted for assessment or investigation by race and ethnicity, rate per 1,000 children, for fiscal years 2016-2024 for Virginia.","Virginia Department of Social Services, Individual Accepted Referrals reports for SFY 2016 through SFY 2025, Data retrieved by request."
"Figure 29: Children in foster care by race and ethnicity, rate per 1,000 children in Albemarle County for 2016-2024, measured in October of each year.","Virginia Department of Social Services, Foster Care Data Reports, “Children Demographics.” 2016-2024. https://www.dss.virginia.gov/research-and-planning/reports-data/fc-data-reports/"
"Figure 30: Children in foster care by race and ethnicity, rate per 1,000 children in Charlottesville City for 2016-2024, measured in October of each year.","Virginia Department of Social Services, Foster Care Data Reports, “Children Demographics.” 2016-2024. https://www.dss.virginia.gov/research-and-planning/reports-data/fc-data-reports/"
"Figure 31: Children in foster care by race and ethnicity, rate per 1,000 children in Virginia for 2016-2024, measured in October of each year.","Virginia Department of Social Services, Foster Care Data Reports, “Children Demographics.” 2016-2024. https://www.dss.virginia.gov/research-and-planning/reports-data/fc-data-reports/"
"Figure 32: Percent of babies born weighing under 2,500 grams (5.5 lbs) by race and ethnicity, 2014-2024, for Albemarle County.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
"Figure 33: Percent of babies born weighing under 2,500 grams (5.5 lbs) by race and ethnicity, 2014-2024, for Charlottesville City.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
"Figure 34: Percent of babies born weighing under 2,500 grams (5.5 lbs) by race and ethnicity, 2014-2024, for Virginia.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
"Figure 35: Rate per 1,000 births of infants who died before their 1st birthday by race and ethnicity, 2016-2023, for Albemarle.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
"Figure 36: Rate per 1,000 births of infants who died before their 1st birthday by race and ethnicity, 2016-2023, for Charlottesville City.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
"Figure 37: Rate per 1,000 births of infants who died before their 1st birthday by race and ethnicity, 2016-2023, for Virginia.","Virginia Department of Health, Office of Information Management, Division of Health Statistics. Data compiled from Virginia Vital Statistics. Report by the Division of Population Health Data, Office of Family Health Services"
